known	unknown	DDC	DDE	TFC
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara2	Shia004640Vols	0.97482	~	~
0126KumaytIbnZaydAsadi.Rawda.Shia003659-ara1	Shia003659	0.95862	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	Shia004243Vols	0.93129	~	~
0151IbnIshaq.Sira.Shamela0009862-ara2	Shia003660Vols	0.96183	~	~
0157AbuMikhnafAzdi.MaqtalHusayn.Shia003665-ara1	Shia003665	0.97397	~	~
0170KhalilFarahidi.Cayn.Shia003887Vols-ara1	Shia003887Vols	0.93296	~	~
0185IbnCimranMawsili.Zuhd.Shamela0029289-ara1	Shia003470	0.93242	~	~
0189MuhammadShaybani.Kasb.Shamela0006163-ara1	Shia003154Vols	0.93545	~	~
0189MuhammadShaybani.Kasb.Shamela0006163-ara1	Shia004520	0.93059	~	~
0189MuhammadShaybani.Kasb.Shamela0006163-ara1	Shia004528	0.93034	~	~
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	Shia003457	0.95441	~	~
0197WakicIbnJarrah.Zuhd.JK011365-ara1	Shia003470	0.93835	~	~
0200SayfIbnCumar.Fitna.Shia001884-ara1	Shia003671Vols	0.94122	~	~
0200SayfIbnCumar.Fitna.Shia001884-ara1	Shia003673Vols	0.94062	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	Shia003157Vols_c	0.93812	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	Shia003236Vols	0.93685	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	Shia003697	0.93182	~	~
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1	Shia003056	0.9687	~	~
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1	Shia003457	0.9572	~	~
0204IbnKalbi.NasabMacad.Shamela0028172-ara1	Shia003056	0.97567	~	~
0207Waqidi.FutuhSham.Shamela0012045-ara1	Shia003455Vols	0.99643	~	0.98196
0207Waqidi.Maghazi.Shamela0023680-ara1	Shia003512Vols_a	0.94023	~	~
0207Waqidi.Maghazi.Shamela0023680-ara1	Shia003465Vols	0.93782	~	~
0207Waqidi.Maghazi.Shamela0023680-ara1	Shia003714Vols	0.93338	~	~
0207Waqidi.Ridda.Shamela0012222-ara1	Shia003675Vols	0.95551	~	~
0212IbnMuzahimMinqari.WaqcatSiffin.Shia003666-ara1	Shia003666	0.95427	~	~
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1	Shia003667Vols	0.98493	~	0.9546
0216IbnQuraybAsmaci.Ibl.Shamela0009208-ara1	Shia003899	0.93425	~	~
0219IbnMuslimBasri.Ahadith.Shamela0030305-ara1	Shia004341	0.93921	~	~
0219IbnMuslimBasri.Ahadith.Shamela0030305-ara1	Shia004243Vols	0.93413	~	~
0219IbnZubayrHumaydi.Musnad.Shamela0008493-ara1	Shia004243Vols	0.93332	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	Shia003684Vols	0.93771	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	Shia002958	0.93605	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	Shia003760	0.93481	~	~
0220AbuJacfarIskafi.NaqdCuthmaniyya.Shia003459BK2-ara1	Shia003646	0.95504	~	~
0220AbuJacfarIskafi.NaqdCuthmaniyya.Shia003459BK2-ara1	Shia003707Vols	0.93594	~	~
0220AbuJacfarIskafi.NaqdCuthmaniyya.Shia003459BK2-ara1	Shia002958	0.93004	~	~
