known	unknown	DDC	DDE	TFC
0001ImruQaysIbnHujr.Diwan.Shamela0027112-ara1	27112.bok.json	0.99336	~	0.96841
0011CamirIbnTufayl.Diwan.Sham19Y0149871-ara1	149871.bok.json	0.9977	13.49	0.99766
0122ZaydIbnCali.MajmucRasail.Zaydiyya0000074-ara1	21499.bok.json	0.93986	~	~
0122ZaydIbnCali.MajmucRasail.Zaydiyya0000074-ara1	7597.bok.json	0.93226	~	~
0122ZaydIbnCali.MajmucRasail.Zaydiyya0000074-ara1	1708.bok.json	0.9301	~	~
0142IbnMuqaffac.KalilaWaDimna.Shamela0026537-ara1	8305.bok.json	0.94168	~	~
0142IbnMuqaffac.KalilaWaDimna.Shamela0026537-ara1	10501.bok.json	0.93415	~	~
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	21784.bok.json	0.93655	~	~
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	4135.bok.json	0.93155	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	13160.bok.json	0.95319	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	26359.bok.json	0.95211	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	9567.bok.json	0.95025	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	29779.bok.json	0.94226	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	30075.bok.json	0.94	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	12520.bok.json	0.93829	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	13159.bok.json	0.93512	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	13175.bok.json	0.93476	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	23678.bok.json	0.93342	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	6601.bok.json	0.9321	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	22804.bok.json	0.93106	~	~
0150AbuHanifa.FiqhAbsat.Shamela0006387-ara1	6388.bok.json	0.97205	~	0.94326
0150AbuHanifa.Musnad.Shamela0029120-ara1	6075.bok.json	0.94528	~	~
0150AbuHanifa.Musnad.Shamela0029120-ara1	36341.bok.json	0.93306	~	~
0150AbuHanifa.Musnad.Shamela0029120-ara1	13159.bok.json	0.93076	~	~
0168IbnTahman.Mashyakha.Shamela0024831-ara1	13159.bok.json	0.94044	~	~
0168IbnTahman.Mashyakha.Shamela0024831-ara1	12981.bok.json	0.93501	~	~
0168IbnTahman.Mashyakha.Shamela0024831-ara1	26359.bok.json	0.93157	~	~
0168MufaddalDabbi.Mufaddaliyyat.Shamela0006904-ara1	6904.bok.json	0.98971	~	0.98907
0170AbuZaydQurashi.JamharatAshcarCarab.Shamela0001487-ara1	21554.bok.json	0.94125	~	~
0170AbuZaydQurashi.JamharatAshcarCarab.Shamela0001487-ara1	26102.bok.json	0.93934	~	~
0170AbuZaydQurashi.JamharatAshcarCarab.Shamela0001487-ara1	26423.bok.json	0.93417	~	~
0170AbuZaydQurashi.JamharatAshcarCarab.Shamela0001487-ara1	10511.bok.json	0.93312	~	~
0175LaythIbnSacd.Cawali.JK000492-ara1	5676.bok.json	0.98648	48.19	0.97428
0181IbnMubarak.Jihad.Shia001880-ara1	151099.bok.json	0.95166	~	~
0181IbnMubarak.Jihad.Shia001880-ara1	13078.bok.json	0.94249	~	~
0181IbnMubarak.Jihad.Shia001880-ara1	13140.bok.json	0.93959	~	~
0181IbnMubarak.Jihad.Shia001880-ara1	13035.bok.json	0.93893	~	~
0181IbnMubarak.Jihad.Shia001880-ara1	1198.bok.json	0.93729	~	~
0181IbnMubarak.Jihad.Shia001880-ara1	26424.bok.json	0.93049	~	~
0181IbnMubarak.Musnad.Shia001881-ara1	9567.bok.json	0.95637	~	~
0181IbnMubarak.Musnad.Shia001881-ara1	13160.bok.json	0.9397	~	~
